Year, Month, Monthly_MSL, Unverified, Linear_Trend, High_Conf., Low_Conf.,month_values,year.month
1850,1,-999, ,-0.223,-0.196,-0.249,0,1850
1850,2,-999, ,-0.222,-0.196,-0.249,0.08333333,1850.083333
1850,3,-999, ,-0.222,-0.196,-0.249,0.16666667,1850.166667
1850,4,-999, ,-0.222,-0.196,-0.248,0.25,1850.25
1850,5,-999, ,-0.222,-0.195,-0.248,0.33333333,1850.333333
1850,6,-999, ,-0.222,-0.195,-0.248,0.41666667,1850.416667
1850,7,-999, ,-0.221,-0.195,-0.248,0.5,1850.5
1850,8,-999, ,-0.221,-0.195,-0.247,0.58333333,1850.583333
1850,9,-999, ,-0.221,-0.195,-0.247,0.66666667,1850.666667
1850,10,-999, ,-0.221,-0.195,-0.247,0.75,1850.75
1850,11,-999, ,-0.221,-0.195,-0.247,0.83333333,1850.833333
1850,12,-999, ,-0.221,-0.195,-0.247,0.91666667,1850.916667
1851,1,-999, ,-0.22,-0.195,-0.246,0,1851
1851,2,-999, ,-0.22,-0.195,-0.246,0.08333333,1851.083333
1851,3,-999, ,-0.22,-0.194,-0.246,0.16666667,1851.166667
1851,4,-999, ,-0.22,-0.194,-0.246,0.25,1851.25
1851,5,-999, ,-0.22,-0.194,-0.245,0.33333333,1851.333333
1851,6,-999, ,-0.22,-0.194,-0.245,0.41666667,1851.416667
1851,7,-999, ,-0.219,-0.194,-0.245,0.5,1851.5
1851,8,-999, ,-0.219,-0.194,-0.245,0.58333333,1851.583333
1851,9,-999, ,-0.219,-0.194,-0.244,0.66666667,1851.666667
1851,10,-999, ,-0.219,-0.194,-0.244,0.75,1851.75
1851,11,-999, ,-0.219,-0.194,-0.244,0.83333333,1851.833333
1851,12,-999, ,-0.219,-0.193,-0.244,0.91666667,1851.916667
1852,1,-999, ,-0.218,-0.193,-0.243,0,1852
1852,2,-999, ,-0.218,-0.193,-0.243,0.08333333,1852.083333
1852,3,-999, ,-0.218,-0.193,-0.243,0.16666667,1852.166667
1852,4,-999, ,-0.218,-0.193,-0.243,0.25,1852.25
1852,5,-999, ,-0.218,-0.193,-0.242,0.33333333,1852.333333
1852,6,-999, ,-0.218,-0.193,-0.242,0.41666667,1852.416667
1852,7,-999, ,-0.217,-0.193,-0.242,0.5,1852.5
1852,8,-999, ,-0.217,-0.193,-0.242,0.58333333,1852.583333
1852,9,-999, ,-0.217,-0.193,-0.241,0.66666667,1852.666667
1852,10,-999, ,-0.217,-0.192,-0.241,0.75,1852.75
1852,11,-999, ,-0.217,-0.192,-0.241,0.83333333,1852.833333
1852,12,-999, ,-0.216,-0.192,-0.241,0.91666667,1852.916667
1853,1,-999, ,-0.216,-0.192,-0.241,0,1853
1853,2,-999, ,-0.216,-0.192,-0.24,0.08333333,1853.083333
1853,3,-999, ,-0.216,-0.192,-0.24,0.16666667,1853.166667
1853,4,-999, ,-0.216,-0.192,-0.24,0.25,1853.25
1853,5,-999, ,-0.216,-0.192,-0.24,0.33333333,1853.333333
1853,6,-999, ,-0.215,-0.192,-0.239,0.41666667,1853.416667
1853,7,-999, ,-0.215,-0.192,-0.239,0.5,1853.5
1853,8,-999, ,-0.215,-0.191,-0.239,0.58333333,1853.583333
1853,9,-999, ,-0.215,-0.191,-0.239,0.66666667,1853.666667
1853,10,-999, ,-0.215,-0.191,-0.238,0.75,1853.75
1853,11,-999, ,-0.215,-0.191,-0.238,0.83333333,1853.833333
1853,12,-999, ,-0.214,-0.191,-0.238,0.91666667,1853.916667
1854,1,-999, ,-0.214,-0.191,-0.238,0,1854
1854,2,-999, ,-0.214,-0.191,-0.237,0.08333333,1854.083333
1854,3,-999, ,-0.214,-0.191,-0.237,0.16666667,1854.166667
1854,4,-999, ,-0.214,-0.191,-0.237,0.25,1854.25
1854,5,-999, ,-0.214,-0.19,-0.237,0.33333333,1854.333333
1854,6,-999, ,-0.213,-0.19,-0.236,0.41666667,1854.416667
1854,7,-0.185, ,-0.213,-0.19,-0.236,0.5,1854.5
1854,8,-0.167, ,-0.213,-0.19,-0.236,0.58333333,1854.583333
1854,9,-0.158, ,-0.213,-0.19,-0.236,0.66666667,1854.666667
1854,10,-0.143, ,-0.213,-0.19,-0.235,0.75,1854.75
1854,11,-0.124, ,-0.213,-0.19,-0.235,0.83333333,1854.833333
1854,12,-0.108, ,-0.212,-0.19,-0.235,0.91666667,1854.916667
1855,1,-0.092, ,-0.212,-0.19,-0.235,0,1855
1855,2,-0.064, ,-0.212,-0.19,-0.235,0.08333333,1855.083333
1855,3,0, ,-0.212,-0.189,-0.234,0.16666667,1855.166667
1855,4,0.04, ,-0.212,-0.189,-0.234,0.25,1855.25
1855,5,-0.057, ,-0.212,-0.189,-0.234,0.33333333,1855.333333
1855,6,-0.182, ,-0.211,-0.189,-0.234,0.41666667,1855.416667
1855,7,-0.209, ,-0.211,-0.189,-0.233,0.5,1855.5
1855,8,-0.121, ,-0.211,-0.189,-0.233,0.58333333,1855.583333
1855,9,-0.167, ,-0.211,-0.189,-0.233,0.66666667,1855.666667
1855,10,-0.134, ,-0.211,-0.189,-0.233,0.75,1855.75
1855,11,-0.216, ,-0.21,-0.189,-0.232,0.83333333,1855.833333
1855,12,-0.296, ,-0.21,-0.188,-0.232,0.91666667,1855.916667
1856,1,-0.166, ,-0.21,-0.188,-0.232,0,1856
1856,2,-0.265, ,-0.21,-0.188,-0.232,0.08333333,1856.083333
1856,3,-0.237, ,-0.21,-0.188,-0.231,0.16666667,1856.166667
1856,4,-0.139, ,-0.21,-0.188,-0.231,0.25,1856.25
1856,5,-0.164, ,-0.209,-0.188,-0.231,0.33333333,1856.333333
1856,6,-0.279, ,-0.209,-0.188,-0.231,0.41666667,1856.416667
1856,7,-0.215, ,-0.209,-0.188,-0.23,0.5,1856.5
1856,8,-0.224, ,-0.209,-0.188,-0.23,0.58333333,1856.583333
1856,9,-0.216, ,-0.209,-0.187,-0.23,0.66666667,1856.666667
1856,10,-0.244, ,-0.209,-0.187,-0.23,0.75,1856.75
1856,11,-0.228, ,-0.208,-0.187,-0.23,0.83333333,1856.833333
1856,12,-0.25, ,-0.208,-0.187,-0.229,0.91666667,1856.916667
1857,1,-0.199, ,-0.208,-0.187,-0.229,0,1857
1857,2,-0.165, ,-0.208,-0.187,-0.229,0.08333333,1857.083333
1857,3,-0.115, ,-0.208,-0.187,-0.229,0.16666667,1857.166667
1857,4,-0.155, ,-0.208,-0.187,-0.228,0.25,1857.25
1857,5,-0.179, ,-0.207,-0.187,-0.228,0.33333333,1857.333333
1857,6,-0.178, ,-0.207,-0.187,-0.228,0.41666667,1857.416667
1857,7,-0.295, ,-0.207,-0.186,-0.228,0.5,1857.5
1857,8,-0.243, ,-0.207,-0.186,-0.227,0.58333333,1857.583333
1857,9,-0.228, ,-0.207,-0.186,-0.227,0.66666667,1857.666667
1857,10,-0.21, ,-0.207,-0.186,-0.227,0.75,1857.75
1857,11,-0.256, ,-0.206,-0.186,-0.227,0.83333333,1857.833333
1857,12,-0.238, ,-0.206,-0.186,-0.226,0.91666667,1857.916667
1858,1,-0.251, ,-0.206,-0.186,-0.226,0,1858
1858,2,-0.274, ,-0.206,-0.186,-0.226,0.08333333,1858.083333
1858,3,-0.335, ,-0.206,-0.186,-0.226,0.16666667,1858.166667
1858,4,-0.286, ,-0.205,-0.185,-0.226,0.25,1858.25
1858,5,-0.231, ,-0.205,-0.185,-0.225,0.33333333,1858.333333
1858,6,-0.178, ,-0.205,-0.185,-0.225,0.41666667,1858.416667
1858,7,-0.206, ,-0.205,-0.185,-0.225,0.5,1858.5
1858,8,-0.209, ,-0.205,-0.185,-0.225,0.58333333,1858.583333
1858,9,-0.24, ,-0.205,-0.185,-0.224,0.66666667,1858.666667
1858,10,-0.195, ,-0.204,-0.185,-0.224,0.75,1858.75
1858,11,-0.182, ,-0.204,-0.185,-0.224,0.83333333,1858.833333
1858,12,-0.16, ,-0.204,-0.185,-0.224,0.91666667,1858.916667
1859,1,-0.159, ,-0.204,-0.184,-0.223,0,1859
1859,2,-0.101, ,-0.204,-0.184,-0.223,0.08333333,1859.083333
1859,3,-0.234, ,-0.204,-0.184,-0.223,0.16666667,1859.166667
1859,4,-0.194, ,-0.203,-0.184,-0.223,0.25,1859.25
1859,5,-0.164, ,-0.203,-0.184,-0.222,0.33333333,1859.333333
1859,6,-0.169, ,-0.203,-0.184,-0.222,0.41666667,1859.416667
1859,7,-0.228, ,-0.203,-0.184,-0.222,0.5,1859.5
1859,8,-0.264, ,-0.203,-0.184,-0.222,0.58333333,1859.583333
1859,9,-0.274, ,-0.203,-0.184,-0.222,0.66666667,1859.666667
1859,10,-0.207, ,-0.202,-0.183,-0.221,0.75,1859.75
1859,11,-0.262, ,-0.202,-0.183,-0.221,0.83333333,1859.833333
1859,12,-0.238, ,-0.202,-0.183,-0.221,0.91666667,1859.916667
1860,1,-0.275, ,-0.202,-0.183,-0.221,0,1860
1860,2,-0.283, ,-0.202,-0.183,-0.22,0.08333333,1860.083333
1860,3,-0.274, ,-0.202,-0.183,-0.22,0.16666667,1860.166667
1860,4,-0.246, ,-0.201,-0.183,-0.22,0.25,1860.25
1860,5,-0.289, ,-0.201,-0.183,-0.22,0.33333333,1860.333333
1860,6,-0.212, ,-0.201,-0.183,-0.219,0.41666667,1860.416667
1860,7,-0.255, ,-0.201,-0.182,-0.219,0.5,1860.5
1860,8,-0.264, ,-0.201,-0.182,-0.219,0.58333333,1860.583333
1860,9,-0.271, ,-0.2,-0.182,-0.219,0.66666667,1860.666667
1860,10,-0.305, ,-0.2,-0.182,-0.219,0.75,1860.75
1860,11,-0.278, ,-0.2,-0.182,-0.218,0.83333333,1860.833333
1860,12,-0.218, ,-0.2,-0.182,-0.218,0.91666667,1860.916667
1861,1,-0.333, ,-0.2,-0.182,-0.218,0,1861
1861,2,-0.326, ,-0.2,-0.182,-0.218,0.08333333,1861.083333
1861,3,-0.268, ,-0.199,-0.182,-0.217,0.16666667,1861.166667
1861,4,-0.28, ,-0.199,-0.181,-0.217,0.25,1861.25
1861,5,-0.286, ,-0.199,-0.181,-0.217,0.33333333,1861.333333
1861,6,-0.291, ,-0.199,-0.181,-0.217,0.41666667,1861.416667
1861,7,-0.264, ,-0.199,-0.181,-0.216,0.5,1861.5
1861,8,-0.295, ,-0.199,-0.181,-0.216,0.58333333,1861.583333
1861,9,-0.317, ,-0.198,-0.181,-0.216,0.66666667,1861.666667
1861,10,-0.308, ,-0.198,-0.181,-0.216,0.75,1861.75
1861,11,-0.296, ,-0.198,-0.181,-0.216,0.83333333,1861.833333
1861,12,-0.266, ,-0.198,-0.181,-0.215,0.91666667,1861.916667
1862,1,-0.028, ,-0.198,-0.18,-0.215,0,1862
1862,2,-0.18, ,-0.198,-0.18,-0.215,0.08333333,1862.083333
1862,3,-0.234, ,-0.197,-0.18,-0.215,0.16666667,1862.166667
1862,4,-0.191, ,-0.197,-0.18,-0.214,0.25,1862.25
1862,5,-0.151, ,-0.197,-0.18,-0.214,0.33333333,1862.333333
1862,6,-0.221, ,-0.197,-0.18,-0.214,0.41666667,1862.416667
1862,7,-0.182, ,-0.197,-0.18,-0.214,0.5,1862.5
1862,8,-0.17, ,-0.197,-0.18,-0.213,0.58333333,1862.583333
1862,9,-0.207, ,-0.196,-0.18,-0.213,0.66666667,1862.666667
1862,10,-0.229, ,-0.196,-0.179,-0.213,0.75,1862.75
1862,11,-0.228, ,-0.196,-0.179,-0.213,0.83333333,1862.833333
1862,12,-0.236, ,-0.196,-0.179,-0.213,0.91666667,1862.916667
1863,1,-0.303, ,-0.196,-0.179,-0.212,0,1863
1863,2,-0.302, ,-0.196,-0.179,-0.212,0.08333333,1863.083333
1863,3,-0.301, ,-0.195,-0.179,-0.212,0.16666667,1863.166667
1863,4,-0.237, ,-0.195,-0.179,-0.212,0.25,1863.25
1863,5,-0.237, ,-0.195,-0.179,-0.211,0.33333333,1863.333333
1863,6,-0.239, ,-0.195,-0.178,-0.211,0.41666667,1863.416667
1863,7,-0.249, ,-0.195,-0.178,-0.211,0.5,1863.5
1863,8,-0.258, ,-0.194,-0.178,-0.211,0.58333333,1863.583333
1863,9,-0.265, ,-0.194,-0.178,-0.21,0.66666667,1863.666667
1863,10,-0.244, ,-0.194,-0.178,-0.21,0.75,1863.75
1863,11,-0.228, ,-0.194,-0.178,-0.21,0.83333333,1863.833333
1863,12,-0.296, ,-0.194,-0.178,-0.21,0.91666667,1863.916667
1864,1,-0.324, ,-0.194,-0.178,-0.21,0,1864
1864,2,-0.28, ,-0.193,-0.178,-0.209,0.08333333,1864.083333
1864,3,-0.274, ,-0.193,-0.177,-0.209,0.16666667,1864.166667
1864,4,-0.246, ,-0.193,-0.177,-0.209,0.25,1864.25
1864,5,-0.1, ,-0.193,-0.177,-0.209,0.33333333,1864.333333
1864,6,-0.2, ,-0.193,-0.177,-0.208,0.41666667,1864.416667
1864,7,-0.161, ,-0.193,-0.177,-0.208,0.5,1864.5
1864,8,-0.188, ,-0.192,-0.177,-0.208,0.58333333,1864.583333
1864,9,-0.186, ,-0.192,-0.177,-0.208,0.66666667,1864.666667
1864,10,-0.149, ,-0.192,-0.177,-0.208,0.75,1864.75
1864,11,-0.164, ,-0.192,-0.176,-0.207,0.83333333,1864.833333
1864,12,-0.172, ,-0.192,-0.176,-0.207,0.91666667,1864.916667
1865,1,-0.178, ,-0.192,-0.176,-0.207,0,1865
1865,2,-0.189, ,-0.191,-0.176,-0.207,0.08333333,1865.083333
1865,3,-0.359, ,-0.191,-0.176,-0.206,0.16666667,1865.166667
1865,4,-0.304, ,-0.191,-0.176,-0.206,0.25,1865.25
1865,5,-0.225, ,-0.191,-0.176,-0.206,0.33333333,1865.333333
1865,6,-0.285, ,-0.191,-0.176,-0.206,0.41666667,1865.416667
1865,7,-0.264, ,-0.191,-0.175,-0.206,0.5,1865.5
1865,8,-0.246, ,-0.19,-0.175,-0.205,0.58333333,1865.583333
1865,9,-0.253, ,-0.19,-0.175,-0.205,0.66666667,1865.666667
1865,10,-0.238, ,-0.19,-0.175,-0.205,0.75,1865.75
1865,11,-0.234, ,-0.19,-0.175,-0.205,0.83333333,1865.833333
1865,12,-0.354, ,-0.19,-0.175,-0.204,0.91666667,1865.916667
1866,1,-0.223, ,-0.189,-0.175,-0.204,0,1866
1866,2,-0.177, ,-0.189,-0.175,-0.204,0.08333333,1866.083333
1866,3,-0.125, ,-0.189,-0.174,-0.204,0.16666667,1866.166667
1866,4,-0.161, ,-0.189,-0.174,-0.204,0.25,1866.25
1866,5,-0.158, ,-0.189,-0.174,-0.203,0.33333333,1866.333333
1866,6,-0.209, ,-0.189,-0.174,-0.203,0.41666667,1866.416667
1866,7,-0.164, ,-0.188,-0.174,-0.203,0.5,1866.5
1866,8,-0.163, ,-0.188,-0.174,-0.203,0.58333333,1866.583333
1866,9,-0.14, ,-0.188,-0.174,-0.202,0.66666667,1866.666667
1866,10,-0.18, ,-0.188,-0.174,-0.202,0.75,1866.75
1866,11,-0.21, ,-0.188,-0.173,-0.202,0.83333333,1866.833333
1866,12,-0.126, ,-0.188,-0.173,-0.202,0.91666667,1866.916667
1867,1,-0.156, ,-0.187,-0.173,-0.202,0,1867
1867,2,-0.253, ,-0.187,-0.173,-0.201,0.08333333,1867.083333
1867,3,-0.112, ,-0.187,-0.173,-0.201,0.16666667,1867.166667
1867,4,-0.161, ,-0.187,-0.173,-0.201,0.25,1867.25
1867,5,-0.13, ,-0.187,-0.173,-0.201,0.33333333,1867.333333
1867,6,-0.185, ,-0.187,-0.173,-0.201,0.41666667,1867.416667
1867,7,-0.142, ,-0.186,-0.172,-0.2,0.5,1867.5
1867,8,-0.16, ,-0.186,-0.172,-0.2,0.58333333,1867.583333
1867,9,-0.204, ,-0.186,-0.172,-0.2,0.66666667,1867.666667
1867,10,-0.22, ,-0.186,-0.172,-0.2,0.75,1867.75
1867,11,-0.194, ,-0.186,-0.172,-0.199,0.83333333,1867.833333
1867,12,-0.096, ,-0.186,-0.172,-0.199,0.91666667,1867.916667
1868,1,-0.056, ,-0.185,-0.172,-0.199,0,1868
1868,2,-0.088, ,-0.185,-0.172,-0.199,0.08333333,1868.083333
1868,3,-0.131, ,-0.185,-0.171,-0.199,0.16666667,1868.166667
1868,4,-0.155, ,-0.185,-0.171,-0.198,0.25,1868.25
1868,5,-0.109, ,-0.185,-0.171,-0.198,0.33333333,1868.333333
1868,6,-0.169, ,-0.184,-0.171,-0.198,0.41666667,1868.416667
1868,7,-0.115, ,-0.184,-0.171,-0.198,0.5,1868.5
1868,8,-0.112, ,-0.184,-0.171,-0.198,0.58333333,1868.583333
1868,9,-0.109, ,-0.184,-0.171,-0.197,0.66666667,1868.666667
1868,10,-0.14, ,-0.184,-0.17,-0.197,0.75,1868.75
1868,11,-0.106, ,-0.184,-0.17,-0.197,0.83333333,1868.833333
1868,12,-0.132, ,-0.183,-0.17,-0.197,0.91666667,1868.916667
1869,1,-0.144, ,-0.183,-0.17,-0.196,0,1869
1869,2,-0.107, ,-0.183,-0.17,-0.196,0.08333333,1869.083333
1869,3,-0.155, ,-0.183,-0.17,-0.196,0.16666667,1869.166667
1869,4,-0.176, ,-0.183,-0.17,-0.196,0.25,1869.25
1869,5,-0.164, ,-0.183,-0.17,-0.196,0.33333333,1869.333333
1869,6,-0.151, ,-0.182,-0.169,-0.195,0.41666667,1869.416667
1869,7,-0.151, ,-0.182,-0.169,-0.195,0.5,1869.5
1869,8,-0.118, ,-0.182,-0.169,-0.195,0.58333333,1869.583333
1869,9,-0.161, ,-0.182,-0.169,-0.195,0.66666667,1869.666667
1869,10,-0.128, ,-0.182,-0.169,-0.195,0.75,1869.75
1869,11,-0.222, ,-0.182,-0.169,-0.194,0.83333333,1869.833333
1869,12,-0.214, ,-0.181,-0.169,-0.194,0.91666667,1869.916667
1870,1,-0.217, ,-0.181,-0.168,-0.194,0,1870
1870,2,-0.192, ,-0.181,-0.168,-0.194,0.08333333,1870.083333
1870,3,-0.259, ,-0.181,-0.168,-0.194,0.16666667,1870.166667
