"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0.293522991448479
"7",0.0194333763493472
"8",0.996511791923293
"9",0.102854614439295
"10",1.79399857230275e-05
"11",0
"12",0.00017957759086114
"13",6.90986123499321e-05
"14",0
"15",2.72605733580189e-05
"16",0
"17",0
"18",0.126588926804402
"19",0.0245022125684185
"20",0.00105967394284279
"21",9.83864634379669e-05
"22",0
"23",0
"24",0.00681893069994164
"25",0.00109702534606215
"26",0.0120544346198094
"27",0.0152124253754745
"28",0
"29",0
"30",0
"31",3.42145664568397e-05
"32",0
"33",0
"34",0
"35",0.000107246736020311
"36",2.01391125091993e-05
"37",0.00152835215091078
"38",0
"39",0
"40",2.76966643147978e-05
"41",0
"42",0.00422512910489818
"43",0.00953612704624635
"44",0.000258053475012351
"45",0
"46",0.0090546864973472
"47",0.00237845636357637
"48",0.000496790615627732
"49",0.998779727193889
"50",0.965532144056918
"51",0
"52",0
"53",0
"54",0
"55",0.00551857764661487
"56",0.540108308813142
"57",0.0044956155973294
"58",0
"59",0.999991483996232
"60",0.0178160572842776
"61",0.0135252418406909
"62",0.114117011684798
"63",0.000142023322139118
"64",0.00111673555388087
"65",0
"66",0.000698685127152299
"67",0
"68",0
"69",0.000148531994035499
"70",0.999389176203952
"71",6.30238997230648e-05
"72",0.000987845589019125
"73",0.000302605164464917
"74",0.0605322608624919
"75",0.0020447002723626
"76",0
"77",3.8753369212197e-05
"78",0
"79",0.00281291113691747
"80",0.0175670060469517
"81",0.999990482031907
"82",0.0178185738218805
"83",0.999990758724629
"84",0.157287938194141
"85",0
"86",0.00020987692522252
"87",0.00398417192350842
"88",2.79573269449313e-05
"89",6.70233804984514e-05
"90",0.0709454415570914
"91",0.00040179417508669
"92",0
"93",0
"94",0
"95",0.000183670636797575
"96",0.00348192556853965
"97",0.874741867408831
"98",1.40143511636206e-05
"99",0.00174441833382531
"100",0.629986145160687
"101",0.000323764188172558
"102",0.00644706239239775
"103",0
"104",0.00352065985585963
"105",0.00915221248093573
"106",0.0172551023120966
"107",0.0030120038260785
"108",0.00677392831919935
"109",0
"110",0
"111",0
"112",1.16338605834595e-05
"113",0.0441956051593646
"114",8.08732051550118e-05
"115",0
"116",0
